,country,year,quarter,percentage,new_cases,positive_rate_trimestrale,total_cases,total_cases_percentage
0,Austria,2020,Q1,0.067294164525848,6100.0,0.0,6100.0,0.06729416452584808
1,Austria,2020,Q2,0.0917186366996558,8314.0,1.386399176547619,14414.0,0.15901280122550396
2,Austria,2020,Q3,0.2933363663511967,26590.0,2.20527337673913,41004.0,0.45234916757670074
3,Austria,2020,Q4,3.438102992946579,311653.0,12.792854385869564,352657.0,3.8904521605232794
4,Austria,2021,Q1,1.9875717606767984,180167.0,4.776135835111111,532824.0,5.878023921200078
5,Austria,2021,Q2,1.190400674971502,107906.0,0.46690370634065936,640730.0,7.06842459617158
6,Austria,2021,Q3,1.0122145527712565,91754.0,0.25991151276086955,732484.0,8.080639148942836
7,Austria,2021,Q4,5.86943012543522,532045.0,1.4139752439130435,1264529.0,13.950069274378055
8,Austria,2022,Q1,28.230497737426774,2559004.0,4.540354850222222,3823533.0,42.18056701180483
9,Austria,2022,Q2,6.743779895570488,611302.0,4.036672696666667,4434835.0,48.92434690737532
10,Austria,2022,Q3,7.497364219957485,679612.0,,5114447.0,56.421711127332806
11,Austria,2022,Q4,6.469054226851275,586399.0,,5700846.0,62.89076535418408
12,Belgium,2020,Q1,0.1164595239590259,13558.0,5.385268227118645,13558.0,0.11645952395902598
13,Belgium,2020,Q2,0.4140162704898283,48199.0,7.1459503906593405,61757.0,0.5304757944488543
14,Belgium,2020,Q3,0.4963144486172385,57780.0,2.2663260267391303,119537.0,1.026790243066093
15,Belgium,2020,Q4,4.515963278228228,525740.0,12.847267905434782,645277.0,5.542753521294321
16,Belgium,2021,Q1,1.9765649903498703,230108.0,5.178907471111111,875385.0,7.519318511644192
17,Belgium,2021,Q2,1.7408972296668914,202672.0,5.317406132417582,1078057.0,9.260215741311082
18,Belgium,2021,Q3,1.3437855426813676,156441.0,3.288226328369565,1234498.0,10.604001283992451
19,Belgium,2021,Q4,7.406183212185249,862214.0,10.38994150326087,2096712.0,18.0101844961777
20,Belgium,2022,Q1,15.022496925521825,1748891.0,27.610895977777776,3845603.0,33.03268142169952
21,Belgium,2022,Q2,3.4303763511748557,399358.0,23.100624360465115,4244961.0,36.46305777287438
22,Belgium,2022,Q3,2.625793765970988,305690.0,,4550651.0,39.08885153884537
23,Belgium,2022,Q4,1.1531966713432005,134253.0,,4684904.0,40.24204821018857
24,Bulgaria,2020,Q1,0.0050689561158786,346.0,0.0,346.0,0.00506895611587868
25,Bulgaria,2020,Q2,0.0626880439879909,4279.0,3.1192211432432435,4625.0,0.06775700010386965
26,Bulgaria,2020,Q3,0.2252022931019857,15372.0,4.089061006521739,19997.0,0.29295929320585545
27,Bulgaria,2020,Q4,2.5987483194432706,177387.0,26.07436154130435,197384.0,2.891707612649126
28,Bulgaria,2021,Q1,1.910176046603924,130386.0,12.121399973333334,327770.0,4.80188365925305
29,Bulgaria,2021,Q2,1.3733794539972457,93745.0,9.578810055054944,421515.0,6.1752631132502955
30,Bulgaria,2021,Q3,1.03796399078036,70850.0,3.534587125,492365.0,7.213227104030655
31,Bulgaria,2021,Q4,3.5382632203429805,241517.0,9.48518834673913,733882.0,10.751490324373636
32,Bulgaria,2022,Q1,5.848637747344182,399220.0,16.90927578222222,1133102.0,16.60012807171782
33,Bulgaria,2022,Q2,0.5401368295847719,36869.0,6.861064743820224,1169971.0,17.14026490130259
34,Bulgaria,2022,Q3,1.0916861355113632,74517.0,,1244488.0,18.231951036813953
35,Bulgaria,2022,Q4,0.5292957095681528,36129.0,,1280617.0,18.761246746382106
36,Croatia,2020,Q1,0.0202199573026167,790.0,2.1398840371794874,790.0,0.020219957302616744
37,Croatia,2020,Q2,0.0495260979500802,1935.0,2.9778480955384614,2725.0,0.06974605525269699
38,Croatia,2020,Q3,0.3494981227433312,13655.0,6.803739526086956,16380.0,0.4192441779960282
39,Croatia,2020,Q4,4.915906733271377,192066.0,23.750105968478262,208446.0,5.335150911267405
40,Croatia,2021,Q1,1.5501028786308582,60563.0,11.477864856666667,269009.0,6.885253789898263
41,Croatia,2021,Q2,2.3221469192335564,90727.0,13.7795393,359736.0,9.207400709131818
42,Croatia,2021,Q3,1.1093845940817977,43344.0,4.931715186956522,403080.0,10.316785303213617
43,Croatia,2021,Q4,7.847339834262897,306598.0,30.53182602717391,709678.0,18.164125137476514
44,Croatia,2022,Q1,9.923929449241635,387731.0,38.57007585555555,1097409.0,28.088054586718147
45,Croatia,2022,Q2,1.2790018814798243,49971.0,18.447601455555553,1147380.0,29.367056468197973
46,Croatia,2022,Q3,2.154961145688376,84195.0,,1231575.0,31.522017613886348
47,Croatia,2022,Q4,0.8175517419749164,31942.0,,1263517.0,32.339569355861265
48,Cyprus,2020,Q1,0.0172753602288159,230.0,0.0,230.0,0.0172753602288159
49,Cyprus,2020,Q2,0.0575344605881434,766.0,0.8941789045909091,996.0,0.0748098208169593
50,Cyprus,2020,Q3,0.0561073656127194,747.0,0.2678466546195652,1743.0,0.13091718642967876
51,Cyprus,2020,Q4,1.5475718354544472,20604.0,2.887087210326087,22347.0,1.6784890218841257
52,Cyprus,2021,Q1,1.7845447116366826,23759.0,1.5534075473333335,46106.0,3.463033733520809
53,Cyprus,2021,Q2,2.2868821429859034,30447.0,0.6731141442857143,76553.0,5.749915876506711
54,Cyprus,2021,Q3,3.2741314249318,43591.0,0.8608881591304348,120144.0,9.024047301438513
55,Cyprus,2021,Q4,3.127215752725,41635.0,0.47925850597826086,161779.0,12.151263054163513
56,Cyprus,2022,Q1,19.861857206378964,264436.0,2.706588111111111,426215.0,32.01312026054248
57,Cyprus,2022,Q2,5.89630577688046,78502.0,4.203109384999999,504717.0,37.90942603742294
58,Cyprus,2022,Q3,6.254957277283052,83277.0,,587994.0,44.164383314705994
59,Cyprus,2022,Q4,3.238529160808066,43117.0,,631111.0,47.40291247551405
60,Czechia,2020,Q1,0.0283513422758426,3026.0,0.0,3026.0,0.028351342275842635
61,Czechia,2020,Q2,0.0833113468330445,8892.0,1.9955486695652171,11918.0,0.11166268910888714
62,Czechia,2020,Q3,0.5258490037117209,56125.0,4.696672313043478,68043.0,0.6375116928206082
63,Czechia,2020,Q4,6.141860147869208,655534.0,19.473723880434783,723577.0,6.779371840689817
64,Czechia,2021,Q1,7.740834627538691,826196.0,12.974879314444443,1549773.0,14.520206468228508
65,Czechia,2021,Q2,1.291222814192086,137815.0,1.0005543169120878,1687588.0,15.811429282420594
66,Czechia,2021,Q3,0.2319638242119338,24758.0,0.2780751216956522,1712346.0,16.04339310663253
67,Czechia,2021,Q4,7.542562616553436,805034.0,8.355216553478261,2517380.0,23.585955723185965
68,Czechia,2022,Q1,14.598317882819948,1558110.0,23.040358816666664,4075490.0,38.18427360600592
69,Czechia,2022,Q2,1.3172974293783617,140598.0,14.05514684269663,4216088.0,39.50157103538427
70,Czechia,2022,Q3,2.2777951837571733,243114.0,,4459202.0,41.779366219141444
71,Czechia,2022,Q4,1.1330511815745132,120933.0,,4580135.0,42.91241740071597
72,Denmark,2020,Q1,0.0436565226097418,2577.0,2.3003739459340657,2577.0,0.04365652260974186
73,Denmark,2020,Q2,0.1723560190265866,10174.0,2.1769260485714286,12751.0,0.21601254163632846
74,Denmark,2020,Q3,0.2492504529131284,14713.0,0.36792319,27464.0,0.4652629945494569
75,Denmark,2020,Q4,2.2661072578248853,133766.0,1.6839440505434784,161230.0,2.7313702523743424
76,Denmark,2021,Q1,1.205712854940065,71172.0,0.9161584493333333,232402.0,3.937083107314407
77,Denmark,2021,Q2,1.0746416421222251,63435.0,0.4753819995604395,295837.0,5.011724749436633
78,Denmark,2021,Q3,1.1016961499250029,65032.0,1.0980515527173913,360869.0,6.1134208993616355
79,Denmark,2021,Q4,7.163142578441979,422833.0,2.3512808076086955,783702.0,13.276563477803617
80,Denmark,2022,Q1,38.474999906825424,2271140.0,23.206665933333333,3054842.0,51.75156338462904
81,Denmark,2022,Q2,1.9440959338955204,114758.0,13.983696331460676,3169600.0,53.695659318524555
82,Denmark,2022,Q3,2.1801664199516915,128693.0,,3298293.0,55.87582573847625
83,Denmark,2022,Q4,1.527148190600617,90146.0,,3388439.0,57.40297392907687
84,Estonia,2020,Q1,0.4410810522542168,5955.0,2.0629973392307694,5955.0,0.4410810522542168
85,Estonia,2020,Q2,0.094586146721853,1277.0,5.031243768131868,7232.0,0.5356671989760697
86,Estonia,2020,Q3,0.0949564918538884,1282.0,0.659131085326087,8514.0,0.6306236908299583
87,Estonia,2020,Q4,1.6678122676084297,22517.0,4.683045116304347,31031.0,2.2984359584383878
88,Estonia,2021,Q1,5.810492914556934,78447.0,14.059515233333334,109478.0,8.108928872995321
89,Estonia,2021,Q2,1.58255881821387,21366.0,6.50232402087912,130844.0,9.691487691209192
90,Estonia,2021,Q3,1.7092909223963997,23077.0,4.815952486195653,153921.0,11.400778613605592
91,Estonia,2021,Q4,5.398743196759924,72888.0,11.907695723586956,226809.0,16.799521810365516
92,Estonia,2022,Q1,22.993692281711173,310436.0,41.03325082222222,537245.0,39.79321409207669
93,Estonia,2022,Q2,2.061266935882888,27829.0,15.594348392045454,565074.0,41.85448102795958
94,Estonia,2022,Q3,1.4156072326922906,19112.0,,584186.0,43.27008826065187
95,Estonia,2022,Q4,0.7429864038895128,10031.0,,594217.0,44.01307466454138
96,Finland,2020,Q1,0.0508142945817777,2830.0,9.453378874545455,2829.0,0.050796339000653404
97,Finland,2020,Q2,0.0712297903201103,3967.0,2.329763637582418,6796.0,0.1220261293207637
98,Finland,2020,Q3,0.0972294717881011,5415.0,0.450267067826087,12211.0,0.21925560110886486
99,Finland,2020,Q4,0.4825562427156452,26875.0,1.9332963532608698,39086.0,0.70181184382451
100,Finland,2021,Q1,0.7767404838562267,43259.0,2.896634152222222,82345.0,1.4785523276807369
101,Finland,2021,Q2,0.2848293833748197,15863.0,1.1115552872527472,98208.0,1.7633817110555565
102,Finland,2021,Q3,0.9061104458568304,50464.0,2.997755227173913,148672.0,2.669492156912387
103,Finland,2021,Q4,3.904207692925088,217437.0,9.589806125,366109.0,6.573699849837475
104,Finland,2022,Q1,11.067317448748936,616372.0,37.62335137777778,982481.0,17.641017298586412
105,Finland,2022,Q2,3.457562612458049,192562.0,30.870028149425288,1175043.0,21.09857991104446
106,Finland,2022,Q3,2.730397488086023,152064.0,,1327107.0,23.828977399130483
107,Finland,2022,Q4,2.3404740883906574,130348.0,,1457455.0,26.16945148752114
108,France,2020,Q1,2.414095468905756e-05,16.0,0.0,16.0,2.414095468905756e-05
109,France,2020,Q2,0.0273335959466854,18116.0,1.0982646352380951,18132.0,0.027357736901374486
110,France,2020,Q3,0.5583455793355359,370057.0,2.2900910299999997,388189.0,0.5857033162369104
111,France,2020,Q4,2.942282960595987,1950069.0,8.819747705434782,2338258.0,3.5279862768328973
112,France,2021,Q1,2.643410397497114,1751984.0,5.720209901111111,4090242.0,6.171396674330012
113,France,2021,Q2,2.113074360839557,1400491.0,5.011672988571428,5490733.0,8.284471035169569
114,France,2021,Q3,1.6934170573829888,1122353.0,2.059825188695652,6613086.0,9.977888092552558
115,France,2021,Q4,3.1637324643877163,2096840.0,3.126549677608696,8709926.0,13.141620556940273
116,France,2022,Q1,23.24596802301212,15406826.0,23.333100100000003,24116752.0,36.38758857995239
117,France,2022,Q2,8.267665913086649,5479595.0,22.20092612352941,29596347.0,44.655254493039045
118,France,2022,Q3,6.652691870346416,4409232.0,,34005579.0,51.30794636338546
119,France,2022,Q4,6.011049435665955,3983968.0,,37989547.0,57.31899579905142
120,Germany,2020,Q1,0.0759981765384933,63904.0,4.784918923076924,63904.0,0.07599817653849332
121,Germany,2020,Q2,0.1548874329337261,130239.0,3.241779765274725,194143.0,0.2308856094722194
122,Germany,2020,Q3,0.1107767612075547,93148.0,0.7473563738043478,287291.0,0.3416623706797741
123,Germany,2020,Q4,1.6327132666719215,1372887.0,6.777676342391304,1660178.0,1.9743756373516959
124,Germany,2021,Q1,1.3366695435547424,1123955.0,7.6592251,2784133.0,3.3110451809064383
125,Germany,2021,Q2,1.118606485713689,940594.0,6.4771243492307695,3724727.0,4.429651666620127
126,Germany,2021,Q3,0.5676030562341314,477276.0,4.0710621639130435,4202003.0,4.997254722854259
127,Germany,2021,Q4,3.3442337311170625,2812040.0,13.690799885869566,7014043.0,8.341488453971321
128,Germany,2022,Q1,16.11686993499102,13552068.0,43.818188444444445,20566111.0,24.45835838896234
129,Germany,2022,Q2,8.69527528336745,7311529.0,58.080797227848095,27877640.0,33.15363367232979
130,Germany,2022,Q3,6.0937303549875015,5123988.0,,33001628.0,39.247364027317296
131,Germany,2022,Q4,5.042809150625713,4240308.0,,37241936.0,44.290173177943004
132,Greece,2020,Q1,0.0127923402693363,1332.0,2.0559085341463414,1332.0,0.012792340269336384
133,Greece,2020,Q2,0.0204946352363091,2134.0,1.4873543552747253,3466.0,0.03328697550564558
134,Greece,2020,Q3,0.1419162253453331,14777.0,1.2379408202173914,18243.0,0.17520320085097874
135,Greece,2020,Q4,1.1663790791070832,121449.0,5.614425711956522,139692.0,1.341582279958062
136,Greece,2021,Q1,1.1834259289404707,123224.0,3.4762205522222223,262916.0,2.525008208898533
137,Greece,2021,Q2,1.610692014708118,167713.0,4.220340083516483,430629.0,4.1357002236066505
138,Greece,2021,Q3,2.125458860381114,221313.0,2.656016745652174,651942.0,6.261159083987764
139,Greece,2021,Q4,4.159863533004286,433145.0,1.5642018402173914,1085087.0,10.42102261699205
140,Greece,2022,Q1,17.829372269682896,1856480.0,6.499496318888888,2941567.0,28.250394886674947
141,Greece,2022,Q2,6.589716706325803,686153.0,5.579179875280898,3627720.0,34.84011159300074
142,Greece,2022,Q3,8.654488781300056,901147.0,,4528867.0,43.4946003743008
143,Greece,2022,Q4,4.747149118447371,494296.0,,5023163.0,48.24174949274818
144,Hungary,2020,Q1,0.0050803846966421,492.0,0.7185418819277108,492.0,0.005080384696642176
145,Hungary,2020,Q2,0.0377208237740525,3653.0,1.9867329057142857,4145.0,0.042801208470694754
146,Hungary,2020,Q3,0.2304346847363146,22316.0,2.378519484456522,26461.0,0.27323589320700936
147,Hungary,2020,Q4,3.057038883323183,296053.0,18.29819841304348,322514.0,3.330274776530192
148,Hungary,2021,Q1,3.4067386966087194,329919.0,14.208330026666665,652433.0,6.737013473138911
149,Hungary,2021,Q2,1.6077042588286656,155695.0,8.99239915065934,808128.0,8.344717731967577
150,Hungary,2021,Q3,0.1505218856157581,14577.0,1.339589167826087,822705.0,8.495239617583335
151,Hungary,2021,Q4,4.478483021911947,433710.0,16.06485705869565,1256415.0,12.973722639495284
152,Hungary,2022,Q1,6.148669816918218,595456.0,26.766546577777778,1851871.0,19.1223924564135
153,Hungary,2022,Q2,0.7873976720686026,76254.0,19.027895868085107,1928125.0,19.9097901284821
154,Hungary,2022,Q3,1.7142890776065935,166017.0,,2094142.0,21.624079206088698
155,Hungary,2022,Q4,0.9466243631706804,91674.0,,2185816.0,22.570703569259376
156,Ireland,2020,Q1,0.0513697323274911,2625.0,0.8610346397058823,2625.0,0.05136973232749114
157,Ireland,2020,Q2,0.4464567898359554,22814.0,6.363692191538462,25439.0,0.4978265221634466
158,Ireland,2020,Q3,0.1944809142364217,9938.0,1.0155652548913043,35377.0,0.6923074363998682
159,Ireland,2020,Q4,1.0594884983658557,54140.0,4.072183709782609,89517.0,1.7517959347657235
160,Ireland,2021,Q1,2.869640449055609,146639.0,8.11899909111111,236156.0,4.621436383821333
161,Ireland,2021,Q2,0.7144991607653444,36511.0,2.463570015384615,272667.0,5.335935544586677
162,Ireland,2021,Q3,2.330463738546262,119087.0,5.928441067391304,391754.0,7.6663992831329395
163,Ireland,2021,Q4,7.05824036064096,360677.0,11.715238493478262,752431.0,14.724639643773902
164,Ireland,2022,Q1,13.90198028850416,710393.0,35.23738471111111,1462824.0,28.626619932278057
165,Ireland,2022,Q2,2.6527721162353206,135557.0,23.3429376,1598381.0,31.279392048513376
166,Ireland,2022,Q3,1.281894977566593,65505.0,,1663886.0,32.561287026079974
167,Ireland,2022,Q4,0.5530318611713904,28260.0,,1692146.0,33.114318887251365
