ISO2,country,year,cases,percentage_cases,vaccines,percentage_vaccines
AL,Albania,2021,151753,5.366819740311181,1141486,40.36921575249813
AL,Albania,2022,123869,4.380688318600658,200757,7.099870385466196
AL,Albania,2023,1828,0.064648122180707,7012,0.2479828406625371
AD,Andorra,2021,15139,18.989739344221167,56509,70.88256692004717
AD,Andorra,2022,24629,30.89360527834224,816,1.0235568600888083
AD,Andorra,2023,264,0.3311507488522616,12,0.0150523067660118
AT,Austria,2021,911872,10.059617113854776,6675453,73.64246433878134
AT,Austria,2022,4436317,48.940696079806024,190540,2.1020049358614905
AT,Austria,2023,381324,4.206701638304015,2108,0.023255098167293
BY,Belarus,2020,192361,2.0969796825353217,0,0.0
BY,Belarus,2021,505239,5.507748024934698,4356041,47.48639003379503
BY,Belarus,2022,296437,3.2315405209565515,2081798,22.694247322184165
BY,Belarus,2023,0,0.0,98553,1.07435311031292
BE,Belgium,2020,645277,5.542753521294321,590,0.0050679391603352
BE,Belgium,2021,1451435,12.46743097488338,8938845,76.78224173502873
BE,Belgium,2022,2588192,22.23186371401087,319784,2.746857383811267
BE,Belgium,2023,163841,1.407349525370318,2087,0.0179267610637621
BA,Bosnia and Herzegovina,2021,179486,5.600527957239208,882641,27.541176452233447
BA,Bosnia and Herzegovina,2022,110622,3.451754474921251,60753,1.8956847608512843
BG,Bulgaria,2020,197384,2.891707612649126,2889,0.0423243185513685
BG,Bulgaria,2021,536498,7.85978271172451,1899535,27.828495825363035
BG,Bulgaria,2022,546735,8.00975642200847,200609,2.938954385694527
BG,Bulgaria,2023,42961,0.6293856176134798,51111,0.7487844394181365
HR,Croatia,2020,208446,5.335150911267405,0,0.0
HR,Croatia,2021,501232,12.828974226209109,2251529,57.62762056405491
HR,Croatia,2022,553839,14.175444218384753,61279,1.5684288146165208
HR,Croatia,2023,46211,1.1827651226724334,2353,0.060224758902604
CY,Cyprus,2021,139432,10.472774032279386,636989,47.84441059475309
CY,Cyprus,2022,469332,35.25164942135054,30079,2.259241566619798
CY,Cyprus,2023,44364,3.3321916573529937,224,0.0168246986576294
DK,Denmark,2020,161230,2.7313702523743424,9,0.0001524674829211
DK,Denmark,2021,622472,10.545193225429273,4693559,79.51279185240877
DK,Denmark,2022,2604737,44.12641045127326,52089,0.8824309686530243
DK,Denmark,2023,43907,0.743821085846308,863,0.0146199375289899
EE,Estonia,2020,31031,2.298435958438388,2284,0.1691736563137919
EE,Estonia,2021,195778,14.501085851927128,839636,62.191021056342834
EE,Estonia,2022,367408,27.213552854175862,26432,1.957792505992184
EE,Estonia,2023,14364,1.0639274953114306,1535,0.113695955534882
EE,Estonia,2024,5543,0.4105646133744959,124,0.009184559274479
FO,Faroe Islands,2021,5161,9.55050981698403,37444,69.2906974592424
FO,Faroe Islands,2022,28889,53.459538481467085,278,0.5144432724513777
FI,Finland,2021,327023,5.8718880060129655,4275196,76.76362860029602
FI,Finland,2022,1091346,19.595751637683662,248685,4.4652836918973104
FI,Finland,2023,42257,0.7587489915696751,305,0.0054764522429124
FI,Finland,2024,0,0.0,35,0.0006284453393506
FR,France,2020,2338258,3.5279862768328973,2007,0.0030281810038086
FR,France,2021,6371668,9.613634280107377,53227807,80.31062981155631
FR,France,2022,29279621,44.17737524211115,1414026,2.1334960996968317
FR,France,2023,1007943,1.5207941432595466,33224,0.050128692411828
DE,Germany,2020,1660177,1.974374448096304,182500,0.2170391089489708
DE,Germany,2021,5353865,6.367112816619626,62549049,74.38679375652336
DE,Germany,2022,30227893,35.94868472397169,2108304,2.5073118989235668
DE,Germany,2023,1195820,1.422135382264977,12020,0.0142948498058445
GI,Gibraltar,2021,6748,17.932024129042546,40753,108.29635141239936
GI,Gibraltar,2022,11772,31.282719034838298,1002,2.6626983072466848
GR,Greece,2020,139692,1.341582279958062,1892,0.0181705013435318
GR,Greece,2021,945395,9.079440337033988,7467030,71.71230372473188
GR,Greece,2022,3938076,37.82072687575612,463026,4.44683644560792
GR,Greece,2023,547200,5.255231678213867,4707,0.0452053646004252
GR,Greece,2024,184802,1.7748123622026295,929,0.0089219850677278
GG,Guernsey,2021,7504,11.77134968940202,26818,42.06877078496581
GG,Guernsey,2022,26315,41.279726422789736,21254,33.34065382443371
HU,Hungary,2021,933901,9.64344786296509,6136375,63.36411716027973
HU,Hungary,2022,929401,9.596980929764094,154290,1.5931962496847991
IS,Iceland,2020,5743,1.5098536154460944,0,0.0
IS,Iceland,2021,18463,4.853983510705422,283366,74.4978547091238
IS,Iceland,2022,183007,48.11314306145628,21529,5.660045009043873
IE,Ireland,2021,662914,12.972843709008178,2109817,41.287898876186816
IE,Ireland,2022,939715,18.389679243477463,171174,3.349776213876559
IE,Ireland,2023,36807,0.7202917096297015,3677,0.0719567641021657
IE,Ireland,2024,23306,0.4560849453807651,754,0.0147553440666393
IM,Isle of Man,2021,14987,17.81113329530329,64893,77.12136337706788
IM,Isle of Man,2022,22642,26.908632819927742,770,0.9150979273626164
IT,Italy,2020,2083689,3.4950020887599353,33476,0.0561497852718556
IT,Italy,2021,3897739,6.537734732218226,48445813,81.2588719461845
IT,Italy,2022,19187010,32.182652990469194,2442452,4.096760525057185
IT,Italy,2023,1494001,2.5059097665771772,7788,0.0130629265054729
JE,Jersey,2021,16689,16.125728310127254,41330,39.93506807223677
JE,Jersey,2022,46368,44.80303015662896,2871,2.7741006638130115
JE,Jersey,2023,607,0.586513097504179,27,0.0260887209762979
LV,Latvia,2020,36330,1.93135990490458,2333,0.1240259470999831
LV,Latvia,2021,235099,12.49823237773636,1311789,69.73676516088287
LV,Latvia,2022,699090,37.16472325680547,32061,1.7044131547246284
LI,Liechtenstein,2020,2223,5.651311775472849,0,0.0
LI,Liechtenstein,2021,4067,10.339129550538946,26157,66.49633923123855
LI,Liechtenstein,2022,15013,38.16605653853976,606,1.5405735204392923
LI,Liechtenstein,2023,264,0.6711409395973155,8,0.0203376042302216
LT,Lithuania,2020,145051,5.149272858815402,7338,0.26049709576623
LT,Lithuania,2021,379375,13.467714051010288,1908054,67.73542185406625
LT,Lithuania,2022,763996,27.121659740667297,38630,1.37135497539513
LT,Lithuania,2023,79725,2.8302168111151107,1711,0.0607400559901907
LT,Lithuania,2024,51718,1.8359755790185173,149,0.0052894613340376
LU,Luxembourg,2020,38383,5.875104849720502,799,0.1222991630390194
LU,Luxembourg,2021,57505,8.80201923724507,463148,70.89188080500095
LU,Luxembourg,2022,268979,41.171347403094366,17498,2.6783363640259843
LU,Luxembourg,2023,25170,3.852653233657219,60,0.0091839171243318
MT,Malta,2021,34820,6.592274808119744,432910,81.96041605925096
MT,Malta,2022,68801,13.02570646391288,33938,6.425290707580928
MT,Malta,2023,4903,0.9282574205689575,398,0.0753511020571986
MT,Malta,2024,2458,0.4653593187351617,2,0.0003786487540562
MC,Monaco,2021,4320,11.091427251020566,20426,52.44293820123752
ME,Montenegro,2021,122800,19.97884975189132,283884,46.18628487757261
ME,Montenegro,2022,85963,13.985682908972583,8899,1.4478158301472384
NL,Netherlands,2021,2312304,12.914709003172511,12379337,69.14122667573407
NL,Netherlands,2022,5480565,30.610119667644113,164367,0.9180246086692996
NL,Netherlands,2023,53984,0.301512106897391,3702,0.0206764563525144
NO,Norway,2020,49785,0.912348732177038,2422,0.0443850282079499
NO,Norway,2021,345124,6.324664936102602,4289980,78.61721028552473
NO,Norway,2022,1080762,19.80580175725861,54593,1.0004590606757264
PL,Poland,2020,1297400,3.3799015019486145,45600,0.1187941332579442
PL,Poland,2021,2811801,7.325119795807473,21626068,56.33881587362638
PL,Poland,2022,2259187,5.885485998522263,1177108,3.0665246625217586
PL,Poland,2023,263677,0.6869140498915561,133768,0.3484836319659798
PT,Portugal,2021,905174,8.689329778272691,9392375,90.16326559998848
PT,Portugal,2022,4267920,40.9704259593024,390863,3.752137716201525
PT,Portugal,2023,88960,0.8539825238850637,32990,0.3166915856898409
RO,Romania,2020,627941,3.2761952244863717,9324,0.0486466790241613
RO,Romania,2021,1179282,6.152740554801705,5464218,28.508800854144695
SM,San Marino,2021,5850,17.148887520886465,24271,71.14882889221118
SM,San Marino,2022,14918,43.73112889514261,2051,6.012370650485152
RS,Serbia,2021,962156,14.167650044513367,3302157,48.623928726776256
RS,Serbia,2022,1148332,16.909072864396343,44918,0.6614130189901134
SK,Slovakia,2021,662190,12.09878546238266,2495171,45.5889376477428
SK,Slovakia,2022,1017453,18.589748508823185,70571,1.2893933597091571
SK,Slovakia,2023,16343,0.2986007804583576,244116,4.46021098466453
SI,Slovenia,2020,115411,5.456191525271484,5291,0.2501382828344908
SI,Slovenia,2021,341431,16.14155434633586,1238949,58.57277931950663
SI,Slovenia,2022,843961,39.899254454598314,15363,0.7263039953102026
ES,Spain,2021,4180589,8.740811366705955,39581882,82.75813865013133
ES,Spain,2022,7654824,16.004771726982383,1668528,3.488572664776938
ES,Spain,2023,225378,0.4712222570086308,17986,0.0376052831889413
SE,Sweden,2021,878413,8.375942672936961,7591963,72.39174154191538
SE,Sweden,2022,1354059,12.911376038121416,178978,1.7066112042022503
SE,Sweden,2023,66386,0.6330112717885472,3372,0.0321530745710086
CH,Switzerland,2020,451142,5.131173383620444,6279,0.0714157353466375
CH,Switzerland,2021,883690,10.050863380867998,5960217,67.78997927703936
CH,Switzerland,2022,3045631,34.64022574606071,128854,1.4655523431048956
CH,Switzerland,2023,66478,0.7561037194415946,1560,0.0177430398376739
UA,Ukraine,2021,2617976,6.377721406345774,14713150,35.84309852717379
UA,Ukraine,2022,1709592,4.1647828301395755,1060991,2.58470857358517
UA,Ukraine,2023,210004,0.5115963653670768,492898,1.2007620107078978
GB,United Kingdom,2021,10878146,15.955199901905733,49500198,72.60295589652081
GB,United Kingdom,2022,10752848,15.771422754834072,2020194,2.9630599838088725
CZ,Czechia,2020,723577,6.779371840689817,10589,0.0992109594708848
CZ,Czechia,2021,1793803,16.80658388249615,6818621,63.88534627238875
CZ,Czechia,2022,2062755,19.326461677529995,147156,1.3787409530548242
CZ,Czechia,2023,166488,1.5598672415137107,4034,0.0377955435362687
CZ,Czechia,2024,79269,0.7426908628102344,317,0.0029700513884474
XK,Kosovo,2021,110298,6.42032655199511,883919,51.45196309554992
XK,Kosovo,2022,110838,6.451759364358684,22761,1.3248930411245965
XK,Kosovo,2023,2042,0.1188625978637329,178,0.0103611862976221
MD,Moldova,2021,231939,7.629604995021361,986048,32.43592817995603
MD,Moldova,2022,220678,7.25917577937011,114553,3.7682069035163632
MD,Moldova,2023,34603,1.1382614465127647,5074,0.16690860849076
MK,North Macedonia,2021,141513,7.6899375949606465,842871,45.80233187482475
MK,North Macedonia,2022,122279,6.644745565242719,11581,0.6293214565957845
MK,North Macedonia,2023,4728,0.256923568498823,118,0.0064122210412142
RU,Russia,2020,3159297,2.1701465772504704,23500,0.0161423394398773
RU,Russia,2021,7340685,5.042375701753862,73772200,50.67471887772411
RU,Russia,2022,11298527,7.761049276792282,13844950,9.51020776289912
RU,Russia,2023,1948043,1.3381264404032729,1412450,0.9702232911427532
