ISO2,ISO3,country,year,cases
AD,AND,Andorra,2020,7983
AD,AND,Andorra,2021,23122
AD,AND,Andorra,2022,47751
AD,AND,Andorra,2023,48015
AD,AND,Andorra,2024,48015
AD,AND,Andorra,2025,48015
AL,ALB,Albania,2020,57146
AL,ALB,Albania,2021,208899
AL,ALB,Albania,2022,332768
AL,ALB,Albania,2023,334596
AL,ALB,Albania,2024,337196
AL,ALB,Albania,2025,337196
AT,AUT,Austria,2020,352657
AT,AUT,Austria,2021,1264529
AT,AUT,Austria,2022,5700846
AT,AUT,Austria,2023,6082170
AT,AUT,Austria,2024,6083046
AT,AUT,Austria,2025,6083046
BA,BIH,Bosnia and Herzegovina,2020,110985
BA,BIH,Bosnia and Herzegovina,2021,290471
BA,BIH,Bosnia and Herzegovina,2022,401093
BA,BIH,Bosnia and Herzegovina,2023,403508
BA,BIH,Bosnia and Herzegovina,2024,404142
BA,BIH,Bosnia and Herzegovina,2025,404142
BE,BEL,Belgium,2020,645277
BE,BEL,Belgium,2021,2096712
BE,BEL,Belgium,2022,4684904
BE,BEL,Belgium,2023,4848745
BE,BEL,Belgium,2024,4894150
BE,BEL,Belgium,2025,4894150
BG,BGR,Bulgaria,2020,197384
BG,BGR,Bulgaria,2021,733882
BG,BGR,Bulgaria,2022,1280617
BG,BGR,Bulgaria,2023,1323578
BG,BGR,Bulgaria,2024,1339048
BG,BGR,Bulgaria,2025,1339048
BY,BLR,Belarus,2020,192361
BY,BLR,Belarus,2021,697600
BY,BLR,Belarus,2022,994037
BY,BLR,Belarus,2023,994037
BY,BLR,Belarus,2024,994045
BY,BLR,Belarus,2025,994045
CH,CHE,Switzerland,2020,451142
CH,CHE,Switzerland,2021,1334832
CH,CHE,Switzerland,2022,4380463
CH,CHE,Switzerland,2023,4446941
CH,CHE,Switzerland,2024,4475835
CH,CHE,Switzerland,2025,4475835
CY,CYP,Cyprus,2020,22347
CY,CYP,Cyprus,2021,161779
CY,CYP,Cyprus,2022,631111
CY,CYP,Cyprus,2023,675475
CY,CYP,Cyprus,2024,711582
CY,CYP,Cyprus,2025,711582
CZ,CZE,Czechia,2020,723577
CZ,CZE,Czechia,2021,2517380
CZ,CZE,Czechia,2022,4580135
CZ,CZE,Czechia,2023,4746623
CZ,CZE,Czechia,2024,4825892
CZ,CZE,Czechia,2025,4825892
DE,DEU,Germany,2020,1660178
DE,DEU,Germany,2021,7014043
DE,DEU,Germany,2022,37241936
DE,DEU,Germany,2023,38437756
DE,DEU,Germany,2024,38437756
DE,DEU,Germany,2025,38437756
DK,DNK,Denmark,2020,161230
DK,DNK,Denmark,2021,783702
DK,DNK,Denmark,2022,3388439
DK,DNK,Denmark,2023,3432346
DK,DNK,Denmark,2024,3445401
DK,DNK,Denmark,2025,3445401
EE,EST,Estonia,2020,31031
EE,EST,Estonia,2021,226809
EE,EST,Estonia,2022,594217
EE,EST,Estonia,2023,608581
EE,EST,Estonia,2024,614124
EE,EST,Estonia,2025,614124
ES,ESP,Spain,2020,1919549
ES,ESP,Spain,2021,6100138
ES,ESP,Spain,2022,13754962
ES,ESP,Spain,2023,13980340
ES,ESP,Spain,2024,13980340
ES,ESP,Spain,2025,13980340
FI,FIN,Finland,2020,39086
FI,FIN,Finland,2021,366109
FI,FIN,Finland,2022,1457455
FI,FIN,Finland,2023,1499712
FI,FIN,Finland,2024,1499712
FI,FIN,Finland,2025,1499712
FO,FRO,Faroe Islands,2020,608
FO,FRO,Faroe Islands,2021,5769
FO,FRO,Faroe Islands,2022,34658
FO,FRO,Faroe Islands,2023,34658
FO,FRO,Faroe Islands,2024,34658
FO,FRO,Faroe Islands,2025,34658
FR,FRA,France,2020,2338258
FR,FRA,France,2021,8709926
FR,FRA,France,2022,37989547
FR,FRA,France,2023,38997490
FR,FRA,France,2024,39013547
FR,FRA,France,2025,39013547
GB,GBR,United Kingdom,2020,2563561
GB,GBR,United Kingdom,2021,13441707
GB,GBR,United Kingdom,2022,24194555
GB,GBR,United Kingdom,2023,24865284
GB,GBR,United Kingdom,2024,25025238
GB,GBR,United Kingdom,2025,25025238
GG,GGY,Guernsey,2020,298
GG,GGY,Guernsey,2021,7802
GG,GGY,Guernsey,2022,34117
GG,GGY,Guernsey,2023,35326
GG,GGY,Guernsey,2024,35326
GG,GGY,Guernsey,2025,35326
GI,GIB,Gibraltar,2020,1785
GI,GIB,Gibraltar,2021,8533
GI,GIB,Gibraltar,2022,20305
GI,GIB,Gibraltar,2023,20550
GI,GIB,Gibraltar,2024,20550
GI,GIB,Gibraltar,2025,20550
GR,GRC,Greece,2020,139692
GR,GRC,Greece,2021,1085087
GR,GRC,Greece,2022,5023163
GR,GRC,Greece,2023,5570363
GR,GRC,Greece,2024,5755165
GR,GRC,Greece,2025,5755165
HR,HRV,Croatia,2020,208446
HR,HRV,Croatia,2021,709678
HR,HRV,Croatia,2022,1263517
HR,HRV,Croatia,2023,1309728
HR,HRV,Croatia,2024,1352684
HR,HRV,Croatia,2025,1352684
HU,HUN,Hungary,2020,322514
HU,HUN,Hungary,2021,1256415
HU,HUN,Hungary,2022,2185816
HU,HUN,Hungary,2023,2227159
HU,HUN,Hungary,2024,2237414
HU,HUN,Hungary,2025,2237414
IE,IRL,Ireland,2020,89517
IE,IRL,Ireland,2021,752431
IE,IRL,Ireland,2022,1692146
IE,IRL,Ireland,2023,1728953
IE,IRL,Ireland,2024,1752259
IE,IRL,Ireland,2025,1752259
IM,IMN,Isle of Man,2020,379
IM,IMN,Isle of Man,2021,15366
IM,IMN,Isle of Man,2022,38008
IM,IMN,Isle of Man,2023,38008
IM,IMN,Isle of Man,2024,38008
IM,IMN,Isle of Man,2025,38008
IS,ISL,Iceland,2020,5743
IS,ISL,Iceland,2021,24206
IS,ISL,Iceland,2022,207213
IS,ISL,Iceland,2023,209791
IS,ISL,Iceland,2024,210749
IS,ISL,Iceland,2025,210749
IT,ITA,Italy,2020,2083689
IT,ITA,Italy,2021,5981428
IT,ITA,Italy,2022,25168438
IT,ITA,Italy,2023,26662439
IT,ITA,Italy,2024,26958866
IT,ITA,Italy,2025,26958866
JE,JEY,Jersey,2020,2727
JE,JEY,Jersey,2021,19416
JE,JEY,Jersey,2022,65784
JE,JEY,Jersey,2023,66391
JE,JEY,Jersey,2024,66391
JE,JEY,Jersey,2025,66391
LI,LIE,Liechtenstein,2020,2223
LI,LIE,Liechtenstein,2021,6290
LI,LIE,Liechtenstein,2022,21303
LI,LIE,Liechtenstein,2023,21567
LI,LIE,Liechtenstein,2024,21613
LI,LIE,Liechtenstein,2025,21613
LT,LTU,Lithuania,2020,145051
LT,LTU,Lithuania,2021,524426
LT,LTU,Lithuania,2022,1288422
LT,LTU,Lithuania,2023,1368147
LT,LTU,Lithuania,2024,1419865
LT,LTU,Lithuania,2025,1419865
LU,LUX,Luxembourg,2020,38383
LU,LUX,Luxembourg,2021,95888
LU,LUX,Luxembourg,2022,364867
LU,LUX,Luxembourg,2023,390037
LU,LUX,Luxembourg,2024,396904
LU,LUX,Luxembourg,2025,396904
LV,LVA,Latvia,2020,36330
LV,LVA,Latvia,2021,271429
LV,LVA,Latvia,2022,970519
LV,LVA,Latvia,2023,977701
LV,LVA,Latvia,2024,977765
LV,LVA,Latvia,2025,977765
MC,MCO,Monaco,2020,726
MC,MCO,Monaco,2021,5046
MC,MCO,Monaco,2022,16474
MC,MCO,Monaco,2023,17181
MC,MCO,Monaco,2024,17181
MC,MCO,Monaco,2025,17181
MD,MDA,Moldova,2020,143841
MD,MDA,Moldova,2021,375780
MD,MDA,Moldova,2022,596458
MD,MDA,Moldova,2023,631061
MD,MDA,Moldova,2024,650874
MD,MDA,Moldova,2025,650874
ME,MNE,Montenegro,2020,35210
ME,MNE,Montenegro,2021,158010
ME,MNE,Montenegro,2022,243973
ME,MNE,Montenegro,2023,251280
ME,MNE,Montenegro,2024,251280
ME,MNE,Montenegro,2025,251280
MK,MKD,North Macedonia,2020,81796
MK,MKD,North Macedonia,2021,223309
MK,MKD,North Macedonia,2022,345588
MK,MKD,North Macedonia,2023,350316
MK,MKD,North Macedonia,2024,352060
MK,MKD,North Macedonia,2025,352060
MT,MLT,Malta,2020,12616
MT,MLT,Malta,2021,47436
MT,MLT,Malta,2022,116237
MT,MLT,Malta,2023,121140
MT,MLT,Malta,2024,123598
MT,MLT,Malta,2025,123598
NL,NLD,Netherlands,2020,773198
NL,NLD,Netherlands,2021,3085502
NL,NLD,Netherlands,2022,8566067
NL,NLD,Netherlands,2023,8620051
NL,NLD,Netherlands,2024,8635049
NL,NLD,Netherlands,2025,8635049
NO,NOR,Norway,2020,49785
NO,NOR,Norway,2021,394909
NO,NOR,Norway,2022,1475671
NO,NOR,Norway,2023,1503929
NO,NOR,Norway,2024,1532439
NO,NOR,Norway,2025,1532439
PL,POL,Poland,2020,1297400
PL,POL,Poland,2021,4109201
PL,POL,Poland,2022,6368388
PL,POL,Poland,2023,6632065
PL,POL,Poland,2024,6770109
PL,POL,Poland,2025,6770109
PT,PRT,Portugal,2020,377474
PT,PRT,Portugal,2021,1282648
PT,PRT,Portugal,2022,5550568
PT,PRT,Portugal,2023,5639528
PT,PRT,Portugal,2024,5670711
PT,PRT,Portugal,2025,5670711
RO,ROU,Romania,2020,627941
RO,ROU,Romania,2021,1807223
RO,ROU,Romania,2022,3308480
RO,ROU,Romania,2023,3512593
RO,ROU,Romania,2024,3567745
RO,ROU,Romania,2025,3567745
RS,SRB,Serbia,2020,334991
RS,SRB,Serbia,2021,1297147
RS,SRB,Serbia,2022,2445479
RS,SRB,Serbia,2023,2583470
RS,SRB,Serbia,2024,2583470
RS,SRB,Serbia,2025,2583470
RU,RUS,Russia,2020,3159297
RU,RUS,Russia,2021,10499982
RU,RUS,Russia,2022,21798509
RU,RUS,Russia,2023,23746552
RU,RUS,Russia,2024,24831847
RU,RUS,Russia,2025,24831847
SE,SWE,Sweden,2020,447759
SE,SWE,Sweden,2021,1326172
SE,SWE,Sweden,2022,2680231
SE,SWE,Sweden,2023,2746617
SE,SWE,Sweden,2024,2771794
SE,SWE,Sweden,2025,2771794
SI,SVN,Slovenia,2020,115411
SI,SVN,Slovenia,2021,456842
SI,SVN,Slovenia,2022,1300803
SI,SVN,Slovenia,2023,1354417
SI,SVN,Slovenia,2024,1360475
SI,SVN,Slovenia,2025,1360475
SK,SVK,Slovakia,2020,179543
SK,SVK,Slovakia,2021,841733
SK,SVK,Slovakia,2022,1859186
SK,SVK,Slovakia,2023,1875529
SK,SVK,Slovakia,2024,1885623
SK,SVK,Slovakia,2025,1885623
SM,SMR,San Marino,2020,2401
SM,SMR,San Marino,2021,8251
SM,SMR,San Marino,2022,23169
SM,SMR,San Marino,2023,25292
SM,SMR,San Marino,2024,25292
SM,SMR,San Marino,2025,25292
UA,UKR,Ukraine,2020,988108
UA,UKR,Ukraine,2021,3606084
UA,UKR,Ukraine,2022,5315676
UA,UKR,Ukraine,2023,5525680
UA,UKR,Ukraine,2024,5541740
UA,UKR,Ukraine,2025,5541740
VA,VAT,Vatican,2020,26
VA,VAT,Vatican,2021,26
VA,VAT,Vatican,2022,26
VA,VAT,Vatican,2023,26
VA,VAT,Vatican,2024,26
VA,VAT,Vatican,2025,26
XK,XKX,Kosovo,2020,51101
XK,XKX,Kosovo,2021,161399
XK,XKX,Kosovo,2022,272237
XK,XKX,Kosovo,2023,274279
XK,XKX,Kosovo,2024,274279
XK,XKX,Kosovo,2025,274279
