"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Continent
USA,"111,820,082",,"1,219,487",,"109,814,428",,"786,167",940,"1,186,851,502",North America
India,"45,035,393",,"533,570",,N/A,N/A,N/A,N/A,"935,879,495",Asia
France,"40,138,560",,"167,642",,"39,970,918",,0,,"271,490,188",Europe
Germany,"38,828,995",,"183,027",,"38,240,600",,"405,368",N/A,"122,332,384",Europe
Brazil,"38,743,918",,"711,380",,"36,249,161",,"1,783,377",N/A,"63,776,166",South America
S. Korea,"34,571,873",,"35,934",,"34,535,939",,0,,"15,804,065",Asia
Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,N/A,"100,414,883",Asia
Italy,"26,723,249",,"196,487",,"26,361,218",,"165,544",22,"281,126,449",Europe
UK,"24,910,387",,"232,112",,"24,678,275",,0,N/A,"522,526,476",Europe
Russia,"24,124,215",,"402,756",,"23,545,818",,"175,641",N/A,"273,400,000",Europe
Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,N/A,"162,743,369",Asia
Spain,"13,914,811",,"121,760",,"13,762,417",,"30,634",231,"471,036,328",Europe
Australia,"11,853,144",,"24,414",,"11,820,014",,"8,716",3,"81,916,639",Australia/Oceania
Vietnam,"11,625,195",,"43,206",,"10,640,971",,"941,018",,"85,826,548",Asia
Taiwan,"10,241,523",,"19,005",,"10,222,518",,0,,"30,742,304",Asia
Argentina,"10,128,845",,"130,841",,"9,997,258",,746,,"35,716,069",South America
Netherlands,"8,635,786",,"22,992",,"8,612,599",,195,N/A,"25,984,435",Europe
Mexico,"7,702,809",,"334,958",,"6,899,865",,"467,986",N/A,"20,013,810",North America
Iran,"7,627,186",,"146,811",,N/A,N/A,N/A,,"57,320,267",Asia
Indonesia,"6,829,221",,"162,063",,"6,647,104",,"20,054",N/A,"114,158,919",Asia
Poland,"6,661,991",,"120,598",,N/A,N/A,N/A,N/A,"39,323,709",Europe
Colombia,"6,400,173",,"143,200",,"6,212,152",,"44,821",342,"36,951,507",South America
Greece,"6,101,379",,"37,869",,N/A,N/A,N/A,,"102,228,365",Europe
Austria,"6,081,287",,"22,542",,"6,054,934",,"3,811",,"211,273,524",Europe
Portugal,"5,643,062",,"28,126",,"5,614,809",,127,61,"46,139,518",Europe
Ukraine,"5,557,995",,"112,418",,"5,445,577",,0,,"32,603,805",Europe
Chile,"5,384,853",,"64,497",,"5,252,450",,"67,906",7,"50,382,097",South America
Malaysia,"5,278,406",,"37,348",,"5,233,268",,"7,790",11,"68,580,916",Asia
Canada,"4,946,090",,"59,034",,"4,881,312",+350,"5,744",99,"66,572,774",North America
Belgium,"4,861,695",,"34,376",,"4,826,798",+50,521,N/A,"37,454,182",Europe
Israel,"4,841,772",,"12,707",,"4,798,473",,"30,592",N/A,"41,373,364",Asia
DPRK,"4,772,813",,74,,"4,772,739",,0,,,Asia
Thailand,"4,770,149",,"34,586",,"4,692,636",,"42,927",N/A,"17,273,454",Asia
Czechia,"4,759,041",,"43,517",,"4,715,206",,318,2,"57,834,241",Europe
Peru,"4,572,667",,"222,161",,"4,350,506",,0,4,"39,010,194",South America
Switzerland,"4,453,053",,"14,452",,"4,438,309",,292,N/A,"23,833,472",Europe
Philippines,"4,140,383",,"66,864",,"4,067,381",,"6,138",N/A,"36,102,746",Asia
South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"26,795,090",Africa
Romania,"3,529,735",,"68,929",,"3,460,149",+390,657,21,"28,758,667",Europe
Denmark,"3,183,756",,"8,814",,"3,174,942",,0,,"129,333,107",Europe
Singapore,"3,006,155",,"2,024",,"3,004,131",,0,4,"24,756,666",Asia
Hong Kong,"2,937,609",,"14,924",,"2,916,005",,"6,680",N/A,"76,127,725",Asia
Sweden,"2,754,129",,"27,407",,"2,726,492",+20,230,N/A,"19,500,873",Europe
New Zealand,"2,621,111",,"5,697",,"2,613,791",,"1,623",,"7,768,604",Australia/Oceania
Serbia,"2,615,054",,"18,057",,"2,596,608",,389,,"13,463,733",Europe
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,,"19,544,451",Asia
Hungary,"2,230,232",,"49,048",,"2,152,155",,"29,029",,"11,394,556",Europe
Bangladesh,"2,049,377",,"29,493",,N/A,N/A,N/A,N/A,"15,254,399",Asia
Slovakia,"1,877,605",,"21,224",,"1,856,381",,0,23,"7,448,789",Europe
Georgia,"1,861,665",,"17,132",,N/A,N/A,N/A,,"16,920,079",Asia
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"17,201,885",Asia
Ireland,"1,734,582",,"9,491",,"1,724,921",,170,19,"13,083,449",Europe
Pakistan,"1,581,936",,"30,664",,"1,538,689",,"12,583",,"30,589,153",Asia
Finland,"1,516,117",,"11,958",,"1,503,989",+14,170,N/A,"12,108,977",Europe
Norway,"1,509,732",,"6,638",,"1,503,094",,0,N/A,"11,002,430",Europe
Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"11,575,012",Asia
Lithuania,"1,397,806",,"9,897",,"1,387,478",,431,N/A,"10,540,357",Europe
Slovenia,"1,356,546",,"7,100",,"1,349,424",,22,N/A,"2,847,701",Europe
Bulgaria,"1,339,851",,"38,748",,"1,292,944",,"8,159",22,"11,671,043",Europe
Croatia,"1,309,728",,"18,687",,"1,258,432",,"32,609",,"5,660,084",Europe
Guatemala,"1,291,293",,"20,289",,"1,269,891",,"1,113",5,"7,593,848",North America
Morocco,"1,278,992",,"16,303",,N/A,N/A,N/A,N/A,"13,001,033",Africa
Lebanon,"1,243,838",,"10,952",,"1,087,587",,"145,299",74,"4,795,578",Asia
Costa Rica,"1,238,883",,"9,428",,N/A,N/A,N/A,N/A,"4,659,757",North America
Bolivia,"1,212,131",,"22,407",,"1,177,145",,"12,579",220,"2,710,261",South America
Tunisia,"1,153,361",,"29,423",,N/A,N/A,N/A,N/A,"5,013,383",Africa
Cuba,"1,115,251",,"8,530",,"1,106,660",,61,,"14,402,674",North America
Ecuador,"1,070,188",,"36,043",,"1,034,145",,0,,"3,082,403",South America
UAE,"1,067,030",,"2,349",,N/A,N/A,N/A,,"200,732,262",Asia
Panama,"1,059,893",,"8,727",,"1,051,102",,64,16,"7,882,622",North America
Uruguay,"1,041,111",,"7,664",,"1,030,944",,"2,503",18,"6,114,822",South America
Mongolia,"1,011,496",,"2,284",,"1,009,212",,0,N/A,"4,030,048",Asia
Nepal,"1,003,450",,"12,031",,"991,322",,97,,"6,047,766",Asia
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"13,646,641",Europe
Latvia,"982,505",,"6,715",,"971,406",,"4,384",,"7,885,792",Europe
Saudi Arabia,"841,469",,"9,646",,N/A,N/A,N/A,,"45,481,735",Asia
Paraguay,"837,602",,"20,155",,N/A,N/A,N/A,N/A,"2,657,506",South America
Azerbaijan,"835,234",,"10,400",,"824,089",,745,,"7,748,050",Asia
Bahrain,"729,549",,"1,574",,"727,915",,60,N/A,"10,948,549",Asia
Cyprus,"681,110",,"1,365",,"679,745",,0,,"9,640,118",Asia
Dominican Republic,"675,890",,"4,384",,"671,316",,190,4,"3,740,928",North America
Sri Lanka,"672,754",,"16,897",,"655,852",,5,,"6,486,117",Asia
Kuwait,"667,158",,"2,570",,N/A,N/A,N/A,,"8,455,743",Asia
Myanmar,"641,873",,"19,495",,"620,159",,"2,219",,"11,711,514",Asia
Moldova,"635,145",,"12,218",,N/A,N/A,N/A,N/A,"3,216,305",Europe
Estonia,"628,070",,"3,001",,N/A,N/A,N/A,N/A,"6,968,103",Europe
Palestine,"621,008",,"5,404",,"615,445",,159,,"3,078,533",Asia
Venezuela,"552,695",,"5,856",,"546,537",,302,31,"3,359,014",South America
Egypt,"516,023",,"24,613",,"442,182",,"49,228",122,"3,693,367",Africa
Qatar,"514,524",,690,,"513,687",,147,16,"4,065,369",Asia
Libya,"507,274",,"6,437",,"500,835",,2,,"2,483,848",Africa
Ethiopia,"501,157",,"7,574",,"488,171",,"5,412",,"5,565,340",Africa
Réunion,"494,595",,921,,N/A,N/A,N/A,N/A,"1,603,660",Africa
Honduras,"474,590",,"11,165",,N/A,N/A,N/A,N/A,"1,660,662",North America
Armenia,"451,831",,"8,777",,"435,162",,"7,892",,"3,242,901",Asia
Bosnia and Herzegovina,"403,615",,"16,388",,"379,084",,"8,143",,"1,884,721",Europe
Oman,"399,449",,"4,628",,N/A,N/A,N/A,,"25,000,000",Asia
Luxembourg,"391,232",,"1,232",,N/A,N/A,N/A,,"4,587,145",Europe
North Macedonia,"350,567",,"9,976",,"337,068",,"3,523",,"2,226,216",Europe
Zambia,"349,304",,"4,069",,"341,316",,"3,919",,"4,112,961",Africa
Kenya,"344,130",,"5,689",,"337,309",,"1,132",N/A,"3,967,062",Africa
Brunei,"343,719",,225,,"243,601",,"99,893",3,"717,784",Asia
Albania,"334,863",,"3,605",,"330,233",,"1,025",,"1,941,032",Europe
Botswana,"330,638",,"2,801",,"327,049",,788,1,"2,026,898",Africa
Montenegro,"296,542",,"2,846",,"291,794",,"1,902",N/A,"2,769,281",Europe
Algeria,"272,010",,"6,881",,"183,061",,"82,068",,"230,960",Africa
Nigeria,"267,188",,"3,155",,"259,953",,"4,080",11,"5,708,974",Africa
Zimbabwe,"266,359",,"5,740",,"258,888",,"1,731",12,"2,525,756",Africa
Uzbekistan,"253,662",,"1,637",,"241,486",,"10,539",23,"1,377,915",Asia
Afghanistan,"234,174",,"7,996",,"211,080",,"15,098",,"1,390,730",Asia
Mozambique,"233,731",,"2,250",,"228,805",,"2,676",11,"1,371,127",Africa
Martinique,"230,354",,"1,102",,N/A,N/A,N/A,N/A,"828,928",North America
Laos,"218,970",,758,,N/A,N/A,N/A,,"1,233,207",Asia
Iceland,"209,906",,229,,N/A,N/A,N/A,,"1,996,384",Europe
Kyrgyzstan,"206,897",,"2,991",,"196,406",,"7,500",131,"1,907,195",Asia
Guadeloupe,"203,235",,"1,021",,N/A,N/A,N/A,N/A,"938,039",North America
El Salvador,"201,855",,"4,230",,"179,410",,"18,215",,"2,610,114",North America
Trinidad and Tobago,"191,496",,"4,390",,"187,078",,28,N/A,"913,289",North America
Maldives,"186,694",,316,,"163,687",,"22,691",25,"2,213,831",Asia
Namibia,"172,389",,"4,106",,"167,099",,"1,184",,"1,062,663",Africa
Uganda,"172,149",,"3,632",,"100,431",,"68,086",,"3,012,408",Africa
Ghana,"171,889",,"1,462",,"170,425",,2,,"2,541,625",Africa
Jamaica,"156,869",,"3,756",,N/A,N/A,N/A,,"1,183,986",North America
Cambodia,"139,103",,"3,056",,"136,044",,3,,"3,091,420",Asia
Rwanda,"133,518",,"1,468",,"132,039",,11,,"6,021,981",Africa
Cameroon,"125,379",,"1,974",,"123,280",,125,N/A,"1,751,774",Africa
Malta,"121,420",,885,,"120,149",,386,,"2,170,600",Europe
Barbados,"110,578",,648,,"108,647",,"1,283",,"814,159",North America
Angola,"107,327",,"1,937",,"103,419",,"1,971",,"1,499,795",Africa
Channel Islands,"101,717",,228,,"101,321",,168,,"1,252,808",Europe
DRC,"99,338",,"1,468",,"84,489",,"13,381",,"846,704",Africa
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"651,257",South America
Malawi,"89,535",,"2,686",,N/A,N/A,N/A,N/A,"624,784",Africa
Senegal,"89,053",,"1,971",,"87,024",,58,,"1,146,543",Africa
Ivory Coast,"88,384",,835,,"87,497",,52,,"1,690,934",Africa
Suriname,"82,588",,"1,408",,N/A,N/A,N/A,,"242,207",South America
New Caledonia,"80,064",,314,,N/A,N/A,N/A,N/A,"98,964",Australia/Oceania
French Polynesia,"79,254",,650,,N/A,N/A,N/A,N/A,,Australia/Oceania
Eswatini,"75,191",,"1,427",,"73,116",,648,,"1,048,704",Africa
Guyana,"74,137",,"1,300",,"72,013",,824,,"733,218",South America
Belize,"71,409",,688,,N/A,N/A,N/A,N/A,"576,016",North America
Fiji,"69,117",,885,,"67,226",,"1,006",,"672,883",Australia/Oceania
Madagascar,"68,486",,"1,426",,"66,862",,198,,"531,329",Africa
Cabo Verde,"64,477",,417,,"63,755",,305,23,"401,622",Africa
Sudan,"63,993",,"5,046",,"58,947",,0,,"562,941",Africa
Mauritania,"63,848",,997,,"62,471",,380,,"1,009,957",Africa
Bhutan,"62,697",,21,,"61,564",,"1,112",,"2,303,734",Asia
Syria,"57,743",,"3,165",,"54,578",,0,,"146,269",Asia
Burundi,"54,721",,38,,"53,569",,"1,114",,"345,742",Africa
Seychelles,"51,220",,172,,"51,048",,0,,,Africa
Gabon,"49,051",,307,,"48,674",,70,,"1,621,909",Africa
Andorra,"48,015",,165,,N/A,N/A,N/A,N/A,"249,838",Europe
Papua New Guinea,"46,864",,670,,"46,168",,26,N/A,"249,149",Australia/Oceania
Curaçao,"45,986",,295,,"44,720",,971,3,"496,693",North America
Aruba,"44,224",,292,,"42,438",,"1,494",2,"177,885",North America
Tanzania,"43,223",,846,,N/A,N/A,N/A,N/A,,Africa
Mauritius,"43,025",,"1,051",,"41,278",,696,,"358,675",Africa
Mayotte,"42,027",,188,,N/A,N/A,N/A,,"176,919",Africa
Togo,"39,572",,290,,"39,281",,1,,"815,204",Africa
Guinea,"38,572",,468,,"37,757",,347,N/A,"660,107",Africa
Bahamas,"38,084",,844,,"36,366",,874,1,"257,839",North America
Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"150,753",Europe
Lesotho,"36,138",,723,,"25,980",,"9,435",,"431,221",Africa
Haiti,"34,667",,860,,"33,734",,73,,"132,422",North America
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,N/A,"778,000",Europe
Mali,"33,164",,743,,"32,332",,89,,"804,909",Africa
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"222,773",North America
Saint Lucia,"30,215",,410,,"29,805",,0,,"210,983",North America
Benin,"28,036",,163,,"27,847",,26,,"604,310",Africa
Macao,"27,673",,123,,"3,487",,"24,063",,"7,850",Asia
Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"400,466",Africa
Micronesia,"26,547",,65,,N/A,N/A,N/A,N/A,"82,430",Australia/Oceania
San Marino,"26,185",,128,,"26,011",,46,N/A,"196,855",Europe
Solomon Islands,"25,954",,199,,N/A,N/A,N/A,N/A,,Australia/Oceania
Congo,"25,375",,386,,"24,006",,983,,"347,815",Africa
Timor-Leste,"23,460",,138,,"23,102",,220,,"278,529",Asia
Burkina Faso,"22,114",,400,,"21,596",,118,,"248,995",Africa
Liechtenstein,"21,574",,94,,N/A,N/A,N/A,N/A,"112,457",Europe
Gibraltar,"20,550",,113,,N/A,N/A,N/A,,"534,283",Europe
Grenada,"19,693",,238,,"19,358",,97,4,"182,981",North America
Bermuda,"18,860",,165,,"18,685",,10,,"1,029,558",North America
South Sudan,"18,819",,147,,"18,115",,557,1,"410,280",Africa
Nicaragua,"18,491",,225,,"4,225",,"14,041",,,North America
Tajikistan,"17,786",,125,,"17,264",,397,,,Asia
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"365,697",Africa
Monaco,"17,181",,67,,N/A,N/A,N/A,N/A,"78,646",Europe
Samoa,"17,006",,31,,"1,605",,"15,370",,"187,397",Australia/Oceania
Tonga,"16,950",,13,,"15,638",,"1,299",,"535,009",Australia/Oceania
Marshall Islands,"16,138",,17,,"16,121",,0,,,Australia/Oceania
Dominica,"16,038",,74,,"15,964",,0,,"229,344",North America
Djibouti,"15,690",,189,,"15,427",,74,,"305,941",Africa
CAR,"15,440",,113,,"15,200",,127,2,"81,294",Africa
Gambia,"12,626",,372,,"12,189",,65,,"155,686",Africa
Saint Martin,"12,324",,63,,N/A,N/A,N/A,N/A,"112,382",North America
Vanuatu,"12,019",,14,,"11,976",,29,,"24,976",Australia/Oceania
Greenland,"11,971",,21,,"2,761",,"9,189",4,"164,926",North America
Yemen,"11,945",,"2,159",,"9,124",,662,N/A,"329,592",Asia
Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"30,126",North America
Sint Maarten,"11,051",,92,,"10,905",,54,N/A,"62,056",North America
Eritrea,"10,189",,103,,"10,086",,0,,"23,693",Africa
Niger,"9,931",,312,,"8,890",,729,1,"254,538",Africa
St. Vincent Grenadines,"9,674",,124,,"9,493",,57,,"114,197",North America
Guinea-Bissau,"9,614",,177,,"8,929",,508,6,"145,231",Africa
Comoros,"9,109",,161,,"8,939",,9,,,Africa
Antigua and Barbuda,"9,106",,146,,"8,954",,6,N/A,"18,901",North America
Liberia,"8,090",,295,,"7,783",,12,2,"139,824",Africa
Sierra Leone,"7,779",,126,,N/A,N/A,N/A,,"259,958",Africa
Chad,"7,701",,194,,"4,874",,"2,633",,"191,341",Africa
British Virgin Islands,"7,392",,64,,N/A,N/A,N/A,,"107,339",North America
Cook Islands,"7,203",,2,,"7,150",,51,,"19,690",Australia/Oceania
Sao Tome and Principe,"6,778",,80,,"6,685",,13,,"29,600",Africa
Turks and Caicos,"6,752",,40,,"6,709",,3,4,"616,788",North America
Saint Kitts and Nevis,"6,607",,48,,"6,559",,0,,"126,958",North America
Palau,"6,290",,10,,"6,276",,4,,"71,434",Australia/Oceania
St. Barth,"5,507",,6,,N/A,N/A,N/A,,"78,646",North America
Nauru,"5,393",,1,,"5,347",,45,,"20,509",Australia/Oceania
Kiribati,"5,085",,24,,"2,703",,"2,358",3,,Australia/Oceania
Anguilla,"3,904",,12,,N/A,N/A,N/A,N/A,"51,382",North America
Wallis and Futuna,"3,550",,8,,438,,"3,104",,"20,508",Australia/Oceania
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",,"25,400",North America
Tuvalu,"2,943",,1,,N/A,N/A,N/A,N/A,,Australia/Oceania
Saint Helena,"2,166",,,,2,,"2,164",,,Africa
Falkland Islands,"1,930",,,,"1,930",,0,,"8,632",South America
Montserrat,"1,403",,8,,"1,376",,19,,"17,762",North America
Niue,"1,059",,,,"1,056",,3,,,Australia/Oceania
Diamond Princess,712,,13,,699,,0,,,
Tokelau,80,,,,,,80,,,Australia/Oceania
Vatican City,29,,,,29,,0,,,Europe
Western Sahara,10,,1,,9,,0,,,Africa
MS Zaandam,9,,2,,7,,0,,,
China,"503,302",,"5,272",,"379,053",,"118,977",N/A,"160,000,000",Asia
